title,year,cast,url
Back in Action,2025,"Jamie Foxx, Cameron Diaz",https://www.imdb.com/title/tt21191806/?ref_=fn_ttl_ttl_1
Last Action Hero,1993,"Arnold Schwarzenegger, F. Murray Abraham",https://www.imdb.com/title/tt0107362/?ref_=fn_ttl_ttl_2
Action Jackson,1988,"Carl Weathers, Craig T. Nelson",https://www.imdb.com/title/tt0094612/?ref_=fn_ttl_ttl_3
Action Point,2018,"Johnny Knoxville, Eleanor Worthington-Cox",https://www.imdb.com/title/tt6495770/?ref_=fn_ttl_ttl_4
Action,1980,"Luc Merenda, Adriana Asti",https://www.imdb.com/title/tt0078732/?ref_=fn_ttl_ttl_5
Action! Action!,2025,"Mark Justice, Adam Kilbourn",https://www.imdb.com/title/tt15263752/?ref_=fn_ttl_ttl_6
Action Replayy,2010,"Akshay Kumar, Aishwarya Rai Bachchan",https://www.imdb.com/title/tt1396208/?ref_=fn_ttl_ttl_7
A Civil Action,1998,"John Travolta, Robert Duvall",https://www.imdb.com/title/tt0120633/?ref_=fn_ttl_ttl_8
Action,2019,"Vishal, Tamannaah Bhatia",https://www.imdb.com/title/tt10955578/?ref_=fn_ttl_ttl_9
Missing in Action,1984,"Chuck Norris, M. Emmet Walsh",https://www.imdb.com/title/tt0087727/?ref_=fn_ttl_ttl_10
Looney Tunes: Back in Action,2003,"Brendan Fraser, Jenna Elfman",https://www.imdb.com/title/tt0318155/?ref_=fn_ttl_ttl_11
An Action Hero,2022,"Ayushmann Khurrana, Jaideep Ahlawat",https://www.imdb.com/title/tt15600222/?ref_=fn_ttl_ttl_12
Action in the North Atlantic,1943,"Humphrey Bogart, Raymond Massey",https://www.imdb.com/title/tt0035608/?ref_=fn_ttl_ttl_13
Class Action Park,2020,"John Hodgman, Faith Anderson",https://www.imdb.com/title/tt11015214/?ref_=fn_ttl_ttl_14
Class Action,1991,"Gene Hackman, Mary Elizabeth Mastrantonio",https://www.imdb.com/title/tt0101590/?ref_=fn_ttl_ttl_15
Action Force,"Joe Anoa'i, Pierson Fode",N/A,https://www.imdb.com/title/tt15237908/?ref_=fn_ttl_ttl_16
A Man of Action,2022,"Juan José Ballesta, Luis Callejo",https://www.imdb.com/title/tt12703292/?ref_=fn_ttl_ttl_17
Action Hero Biju,2016,"Nivin Pauly, Anu Emmanuel",https://www.imdb.com/title/tt5320514/?ref_=fn_ttl_ttl_18
Action Jackson,2014,"Ajay Devgn, Shahid Kapoor",https://www.imdb.com/title/tt0403935/?ref_=fn_ttl_ttl_19
Mutant Action,1993,"Antonio Resines, Álex Angulo",https://www.imdb.com/title/tt0106215/?ref_=fn_ttl_ttl_20
Missing in Action 2: The Beginning,1985,"Chuck Norris, Soon-Tek Oh",https://www.imdb.com/title/tt0089604/?ref_=fn_ttl_ttl_21
Gundam I: The Live-Action Movie,"Leon Masuda, Alexander Raye Pimentel",N/A,https://www.imdb.com/title/tt8678318/?ref_=fn_ttl_ttl_22
Executive Action,1973,"Burt Lancaster, Robert Ryan",https://www.imdb.com/title/tt0070046/?ref_=fn_ttl_ttl_23
Action U.S.A.,1989,"Gregory Scott Cummins, William Hubbard Knight",https://www.imdb.com/title/tt0096757/?ref_=fn_ttl_ttl_24
Mufasa: The Lion King,2024,"Aaron Pierre, Kelvin Harrison Jr.",https://www.imdb.com/title/tt13186482/?ref_=fn_ttl_ttl_25
Back in Action,1994,"Billy Blanks, Roddy Piper",https://www.imdb.com/title/tt0109195/?ref_=fn_ttl_ttl_26
A Piece of the Action,1977,"Sidney Poitier, Bill Cosby",https://www.imdb.com/title/tt0076543/?ref_=fn_ttl_ttl_27
Untitled Hong Kong Action Thriller,N/A,N/A,https://www.imdb.com/title/tt5195538/?ref_=fn_ttl_ttl_28
Action #1,"Mike Castle, Jimmy Tatro",N/A,https://www.imdb.com/title/tt2298239/?ref_=fn_ttl_ttl_29
Legal Action,2018,"Eric Close, Nick Searcy",https://www.imdb.com/title/tt7656570/?ref_=fn_ttl_ttl_30
Braddock: Missing in Action III,1988,"Chuck Norris, Aki Aleong",https://www.imdb.com/title/tt0094792/?ref_=fn_ttl_ttl_31
Anchorman: The Legend of Ron Burgundy,2004,"Will Ferrell, Christina Applegate",https://www.imdb.com/title/tt0357413/?ref_=fn_ttl_ttl_32
Silent Action,1975,"Luc Merenda, Mel Ferrer",https://www.imdb.com/title/tt0075083/?ref_=fn_ttl_ttl_33
